p1_ch1;p1_ch2;p1_ch3;p1_ch4
5;65;5;6
36;551;647;57
71;513;573;116
124;498;507;183
201;1092;1166;266
283;1034;1000;392
412;930;838;521
533;824;716;649
691;1276;1140;798
862;1195;904;979
1020;1008;724;1175
1125;808;555;1256
780;606;456;703
891;487;336;829
1029;358;218;942
456;230;151;400
526;164;100;447
599;102;49;489
669;45;11;530
9;12;6;10
17;315;705;12
54;632;572;61
104;518;482;84
160;480;431;138
242;1166;1121;208
338;999;915;305
476;886;787;410
607;778;691;528
747;1387;1198;638
936;1096;981;822
1140;908;836;969
1306;707;668;1133
784;567;566;697
926;1110;1055;832
1123;905;849;1040
1223;761;688;1105
712;617;1393;664
880;1106;1191;813
1048;938;1018;1017
582;817;848;1036
750;1324;1431;677
878;1092;1201;846
1067;912;1049;1014
1235;736;866;1205
1070;620;707;1275
760;470;586;865
872;356;433;982
995;256;324;1110
445;174;212;477
510;116;153;537
574;62;92;577
646;24;40;658
4;5;2;4
9;38;9;9
49;565;616;40
89;499;544;77
142;460;484;137
216;421;1159;215
299;1020;993;290
413;918;879;405
538;821;774;527
699;1363;1370;639
832;1188;1155;784
1029;1002;998;953
1194;825;830;1130
1287;681;663;1220
803;1228;1244;766
947;1036;1020;914
1139;844;866;1103
1215;716;707;1190
739;1326;1360;714
903;1114;1135;876
1094;913;940;1075
621;776;786;835
756;1317;1366;695
929;1065;1082;871
1113;865;945;1027
1269;707;768;1210
673;566;639;703
780;455;500;828
920;345;380;927
1026;248;276;1065
415;166;184;467
478;111;129;521
546;60;73;569
607;31;17;628
4;4;3;6
3;22;5;9
30;599;607;18
83;549;521;66
148;497;482;128
208;445;1069;178
334;1051;1041;254
462;906;938;380
596;822;799;518
757;1335;1412;653
911;1098;1177;833
1123;941;1032;1015
1313;725;804;1221
715;578;650;737
837;1097;1136;892
1032;925;904;1080
1184;750;735;1225
653;1433;1347;749
826;1250;1086;860
1026;1032;914;1067
1113;891;742;1131
808;1372;1445;682
971;1176;1119;874
1190;941;958;1034
1365;743;755;1264
820;580;640;798
940;452;493;900
1110;320;350;1066
1148;232;234;1094
519;135;166;532
591;72;98;592
671;31;45;703
6;6;3;7
6;26;618;7
53;608;672;62
92;533;562;114
162;477;489;183
245;1286;1228;261
373;1051;929;411
532;908;830;533
680;1483;1457;726
891;1303;1159;847
1131;1068;1038;1034
1306;832;775;1286
780;642;598;752
981;1137;1078;934
1224;921;879;1191
688;747;716;1118
859;1397;1269;826
1066;1060;992;1043
1239;847;781;1153
776;1361;1433;713
933;1132;1078;936
1206;891;906;1102
1282;632;711;1281
797;498;544;805
965;349;406;934
1052;224;261;1092
489;149;182;532
569;71;110;596
654;38;58;684
6;5;4;5
23;762;851;18
73;633;667;68
144;515;546;140
257;1230;1296;256
363;1079;1036;345
512;882;907;492
654;785;727;658
889;1280;1258;776
1094;994;1065;1012
1281;805;831;1230
737;611;694;716
831;1197;1406;908
1055;892;1081;1118
1166;690;870;1291
706;1402;1591;844
905;1217;1288;1039
1108;925;1023;1244
708;1566;1629;880
897;1317;1297;1074
1158;1035;1112;1318
1313;770;839;1528
